census_birth_death
,CTYNAME,CENSUS2010POP,BIRTHS2010,DEATHS2010,STNAME,Births,Deaths
1777,Churchill County,24877,72,37,Nevada,289,149
1778,Clark County,1951269,6583,3279,Nevada,337,168
1779,Douglas County,46997,97,82,Nevada,206,174
1780,Elko County,48818,186,37,Nevada,381,76
1781,Esmeralda County,783,5,1,Nevada,639,128
1782,Eureka County,1987,4,12,Nevada,201,604
1783,Humboldt County,16528,61,15,Nevada,369,91
1784,Lander County,5775,17,2,Nevada,294,35
1785,Lincoln County,5345,10,16,Nevada,187,299
1786,Lyon County,51980,158,149,Nevada,304,287
1787,Mineral County,4772,10,4,Nevada,210,84
1788,Nye County,43946,92,135,Nevada,209,307
1789,Pershing County,6753,12,17,Nevada,178,252
1790,Storey County,4010,3,4,Nevada,75,100
1791,Washoe County,421407,1415,916,Nevada,336,217
1792,White Pine County,10030,30,46,Nevada,299,459
1793,Carson City,55274,143,187,Nevada,259,338
1795,Belknap County,60088,154,128,New Hampshire,256,213
1796,Carroll County,47818,94,122,New Hampshire,197,255
1797,Cheshire County,77117,186,149,New Hampshire,241,193
1798,Coos County,33055,82,98,New Hampshire,248,296
1799,Grafton County,89118,181,189,New Hampshire,203,212
1800,Hillsborough County,400721,1131,635,New Hampshire,282,158
1801,Merrimack County,146445,353,340,New Hampshire,241,232
1802,Rockingham County,295223,638,557,New Hampshire,216,189
1803,Strafford County,123143,320,204,New Hampshire,260,166
1804,Sullivan County,43742,130,116,New Hampshire,297,265
1806,Atlantic County,274549,802,550,New Jersey,292,200
1807,Bergen County,905116,2373,1680,New Jersey,262,186
1808,Burlington County,448734,1212,931,New Jersey,270,207
1809,Camden County,513657,1645,1124,New Jersey,320,219
1810,Cape May County,97265,236,351,New Jersey,243,361
1811,Cumberland County,156898,562,374,New Jersey,358,238
1812,Essex County,783969,2577,1432,New Jersey,329,183
1813,Gloucester County,288288,862,509,New Jersey,299,177
1814,Hudson County,634266,2430,900,New Jersey,383,142
1815,Hunterdon County,128349,246,234,New Jersey,192,182
1816,Mercer County,366513,1054,718,New Jersey,288,196
1817,Middlesex County,809858,2484,1379,New Jersey,307,170
1818,Monmouth County,630380,1609,1347,New Jersey,255,214
1819,Morris County,492276,1267,886,New Jersey,257,180
1820,Ocean County,576567,1953,1636,New Jersey,339,284
1821,Passaic County,501226,1809,834,New Jersey,361,166
1822,Salem County,66083,200,204,New Jersey,303,309
1823,Somerset County,323444,847,456,New Jersey,262,141
1824,Sussex County,149265,384,287,New Jersey,257,192
1825,Union County,536499,1737,1017,New Jersey,324,190
1826,Warren County,108692,252,260,New Jersey,232,239
1828,Bernalillo County,662564,2132,1165,New Mexico,322,176
1829,Catron County,3725,1,3,New Mexico,27,81
1830,Chaves County,65645,232,182,New Mexico,353,277
1831,Cibola County,27213,103,34,New Mexico,378,125
1832,Colfax County,13750,30,33,New Mexico,218,240
1833,Curry County,48376,215,65,New Mexico,444,134
1834,De Baca County,2022,7,1,New Mexico,346,49
1835,Do?a Ana County,209233,748,398,New Mexico,357,190
1836,Eddy County,53829,194,104,New Mexico,360,193
1837,Grant County,29514,92,114,New Mexico,312,386
1838,Guadalupe County,4687,12,16,New Mexico,256,341
1839,Harding County,695,1,3,New Mexico,144,432
1840,Hidalgo County,4894,11,1,New Mexico,225,20
1841,Lea County,64727,247,194,New Mexico,382,300
1842,Lincoln County,20497,38,65,New Mexico,185,317
1843,Los Alamos County,17950,36,43,New Mexico,201,240
1844,Luna County,25095,84,93,New Mexico,335,371
1845,McKinley County,71492,300,148,New Mexico,420,207
1846,Mora County,4881,11,3,New Mexico,225,61
1847,Otero County,63797,209,95,New Mexico,328,149
1848,Quay County,9041,30,45,New Mexico,332,498
1849,Rio Arriba County,40246,159,78,New Mexico,395,194
1850,Roosevelt County,19846,77,47,New Mexico,388,237
1851,Sandoval County,131561,371,159,New Mexico,282,121
1852,San Juan County,130044,456,201,New Mexico,351,155
1853,San Miguel County,29393,93,35,New Mexico,316,119
1854,Santa Fe County,144170,341,213,New Mexico,237,148
1855,Sierra County,11988,17,30,New Mexico,142,250
1856,Socorro County,17866,52,72,New Mexico,291,403
1857,Taos County,32937,77,79,New Mexico,234,240
1858,Torrance County,16383,41,12,New Mexico,250,73
1859,Union County,4549,15,15,New Mexico,330,330
1860,Valencia County,76569,217,90,New Mexico,283,118
1862,Albany County,304204,785,563,New York,258,185
1863,Allegany County,48946,120,73,New York,245,149
1864,Bronx County,1385108,5432,2169,New York,392,157
1865,Broome County,200600,497,431,New York,248,215
1866,Cattaraugus County,80317,259,262,New York,322,326
1867,Cayuga County,80026,216,202,New York,270,252
1868,Chautauqua County,134905,311,393,New York,231,291
1869,Chemung County,88830,253,197,New York,285,222
1870,Chenango County,50477,107,168,New York,212,333
1871,Clinton County,82128,218,159,New York,265,194
1872,Columbia County,63096,153,138,New York,242,219
1873,Cortland County,49336,121,83,New York,245,168
1874,Delaware County,47980,121,101,New York,252,211
1875,Dutchess County,297488,765,556,New York,257,187
1876,Erie County,919040,2551,2252,New York,278,245
1877,Essex County,39370,96,66,New York,244,168
1878,Franklin County,51599,128,82,New York,248,159
1879,Fulton County,55531,137,167,New York,247,301
1880,Genesee County,60079,159,169,New York,265,281
1881,Greene County,49221,119,161,New York,242,327
1882,Hamilton County,4836,10,4,New York,207,83
1883,Herkimer County,64519,172,178,New York,267,276
1884,Jefferson County,116229,493,246,New York,424,212
1885,Kings County,2504700,10334,3731,New York,413,149
1886,Lewis County,27087,95,81,New York,351,299
1887,Livingston County,65393,145,108,New York,222,165
1888,Madison County,73442,177,187,New York,241,255
1889,Monroe County,744344,2209,1541,New York,297,207
1890,Montgomery County,50219,148,109,New York,295,217
1891,Nassau County,1339532,3706,2604,New York,277,194
1892,New York County,1585873,5028,2290,New York,317,144
1893,Niagara County,216469,544,595,New York,251,275
1894,Oneida County,234878,672,638,New York,286,272
1895,Onondaga County,467026,1367,858,New York,293,184
1896,Ontario County,107931,250,284,New York,232,263
1897,Orange County,372813,1265,522,New York,339,140
1898,Orleans County,42883,112,117,New York,261,273
1899,Oswego County,122109,346,220,New York,283,180
1900,Otsego County,62259,127,112,New York,204,180
1901,Putnam County,99710,249,187,New York,250,188
1902,Queens County,2230722,7600,3339,New York,341,150
1903,Rensselaer County,159429,430,418,New York,270,262
1904,Richmond County,468730,1383,778,New York,295,166
1905,Rockland County,311687,1122,451,New York,360,145
1906,St. Lawrence County,111944,310,282,New York,277,252
1907,Saratoga County,219607,631,369,New York,287,168
1908,Schenectady County,154727,451,358,New York,291,231
1909,Schoharie County,32749,82,88,New York,250,269
1910,Schuyler County,18343,47,69,New York,256,376
1911,Seneca County,35251,115,66,New York,326,187
1912,Steuben County,98990,315,215,New York,318,217
1913,Suffolk County,1493350,4375,2713,New York,293,182
1914,Sullivan County,77547,210,150,New York,271,193
1915,Tioga County,51125,130,125,New York,254,244
1916,Tompkins County,101564,246,121,New York,242,119
1917,Ulster County,182493,421,416,New York,231,228
1918,Warren County,65707,154,185,New York,234,282
1919,Washington County,63216,129,112,New York,204,177
1920,Wayne County,93772,256,230,New York,273,245
1921,Westchester County,949113,2857,1514,New York,301,160
1922,Wyoming County,42155,91,72,New York,216,171
1923,Yates County,25348,75,37,New York,296,146
1925,Alamance County,151131,479,391,North Carolina,317,259
1926,Alexander County,37198,81,57,North Carolina,218,153
1927,Alleghany County,11155,25,48,North Carolina,224,430
1928,Anson County,26948,59,97,North Carolina,219,360
1929,Ashe County,27281,63,102,North Carolina,231,374
1930,Avery County,17797,37,55,North Carolina,208,309
1931,Beaufort County,47759,142,113,North Carolina,297,237
1932,Bertie County,21282,48,33,North Carolina,226,155
1933,Bladen County,35190,89,120,North Carolina,253,341
1934,Brunswick County,107431,255,241,North Carolina,237,224
1935,Buncombe County,238318,611,592,North Carolina,256,248
1936,Burke County,90912,233,298,North Carolina,256,328
1937,Cabarrus County,178011,569,388,North Carolina,320,218
1938,Caldwell County,83029,175,206,North Carolina,211,248
1939,Camden County,9980,20,6,North Carolina,200,60
1940,Carteret County,66469,132,175,North Carolina,199,263
1941,Caswell County,23719,36,31,North Carolina,152,131
1942,Catawba County,154358,438,307,North Carolina,284,199
1943,Chatham County,63505,158,110,North Carolina,249,173
1944,Cherokee County,27444,56,98,North Carolina,204,357
1945,Chowan County,14793,39,62,North Carolina,264,419
1946,Clay County,10587,22,16,North Carolina,208,151
1947,Cleveland County,98078,252,303,North Carolina,257,309
1948,Columbus County,58098,143,154,North Carolina,246,265
1949,Craven County,103505,411,194,North Carolina,397,187
1950,Cumberland County,319431,1375,510,North Carolina,430,160
1951,Currituck County,23547,67,29,North Carolina,285,123
1952,Dare County,33920,96,91,North Carolina,283,268
1953,Davidson County,162878,414,328,North Carolina,254,201
1954,Davie County,41240,75,106,North Carolina,182,257
1955,Duplin County,58505,174,92,North Carolina,297,157
1956,Durham County,267587,1109,359,North Carolina,414,134
1957,Edgecombe County,56552,202,104,North Carolina,357,184
1958,Forsyth County,350670,1195,685,North Carolina,341,195
1959,Franklin County,60619,174,96,North Carolina,287,158
1960,Gaston County,206086,624,548,North Carolina,303,266
1961,Gates County,12197,28,51,North Carolina,230,418
1962,Graham County,8861,23,35,North Carolina,260,395
1963,Granville County,59916,149,63,North Carolina,249,105
1964,Greene County,21362,52,24,North Carolina,243,112
1965,Guilford County,488406,1459,786,North Carolina,299,161
1966,Halifax County,54691,158,178,North Carolina,289,325
1967,Harnett County,114678,434,249,North Carolina,378,217
1968,Haywood County,59036,131,196,North Carolina,222,332
1969,Henderson County,106740,290,282,North Carolina,272,264
1970,Hertford County,24669,59,73,North Carolina,239,296
1971,Hoke County,46952,221,78,North Carolina,471,166
1972,Hyde County,5810,19,21,North Carolina,327,361
1973,Iredell County,159437,435,291,North Carolina,273,183
1974,Jackson County,40271,103,55,North Carolina,256,137
1975,Johnston County,168878,572,302,North Carolina,339,179
1976,Jones County,10153,21,53,North Carolina,207,522
1977,Lee County,57866,224,89,North Carolina,387,154
1978,Lenoir County,59495,180,138,North Carolina,303,232
1979,Lincoln County,78265,196,167,North Carolina,250,213
1980,McDowell County,44996,126,57,North Carolina,280,127
1981,Macon County,33922,89,64,North Carolina,262,189
1982,Madison County,20764,38,68,North Carolina,183,327
1983,Martin County,24505,64,78,North Carolina,261,318
1984,Mecklenburg County,919628,3391,1124,North Carolina,369,122
1985,Mitchell County,15579,33,68,North Carolina,212,436
1986,Montgomery County,27798,81,99,North Carolina,291,356
1987,Moore County,88247,256,219,North Carolina,290,248
1988,Nash County,95840,263,271,North Carolina,274,283
1989,New Hanover County,202667,531,320,North Carolina,262,158
1990,Northampton County,22099,46,78,North Carolina,208,353
1991,Onslow County,177772,1036,158,North Carolina,583,89
1992,Orange County,133801,315,239,North Carolina,235,179
1993,Pamlico County,13144,20,54,North Carolina,152,411
1994,Pasquotank County,40661,134,121,North Carolina,330,298
1995,Pender County,52217,124,70,North Carolina,237,134
1996,Perquimans County,13453,36,49,North Carolina,268,364
1997,Person County,39464,103,137,North Carolina,261,347
1998,Pitt County,168148,544,215,North Carolina,324,128
1999,Polk County,20510,38,54,North Carolina,185,263
2000,Randolph County,141752,400,312,North Carolina,282,220
2001,Richmond County,46639,149,141,North Carolina,319,302
2002,Robeson County,134168,502,259,North Carolina,374,193
2003,Rockingham County,93643,238,212,North Carolina,254,226
2004,Rowan County,138428,384,408,North Carolina,277,295
2005,Rutherford County,67810,156,203,North Carolina,230,299
2006,Sampson County,63431,209,110,North Carolina,329,173
2007,Scotland County,36157,121,129,North Carolina,335,357
2008,Stanly County,60585,140,132,North Carolina,231,218
2009,Stokes County,47401,108,147,North Carolina,228,310
2010,Surry County,73673,195,182,North Carolina,265,247
2011,Swain County,13981,51,25,North Carolina,365,179
2012,Transylvania County,33090,59,82,North Carolina,178,248
2013,Tyrrell County,4407,15,4,North Carolina,340,91
2014,Union County,201292,591,300,North Carolina,294,149
2015,Vance County,45422,156,154,North Carolina,343,339
2016,Wake County,900993,3207,1055,North Carolina,356,117
2017,Warren County,20972,47,58,North Carolina,224,277
2018,Washington County,13228,29,73,North Carolina,219,552
2019,Watauga County,51079,75,97,North Carolina,147,190
2020,Wayne County,122623,403,225,North Carolina,329,183
2021,Wilkes County,69340,172,166,North Carolina,248,239
2022,Wilson County,81234,235,221,North Carolina,289,272
2023,Yadkin County,38406,132,92,North Carolina,344,240
2024,Yancey County,17818,43,37,North Carolina,241,208
2026,Adams County,2343,8,7,North Dakota,341,299
2027,Barnes County,11066,33,45,North Dakota,298,407
2028,Benson County,6660,37,25,North Dakota,556,375
2029,Billings County,783,1,0,North Dakota,128,0
2030,Bottineau County,6429,15,11,North Dakota,233,171
2031,Bowman County,3151,11,21,North Dakota,349,666
2032,Burke County,1968,1,0,North Dakota,51,0
2033,Burleigh County,81308,297,164,North Dakota,365,202
2034,Cass County,149778,537,254,North Dakota,359,170
2035,Cavalier County,3993,9,14,North Dakota,225,351
2036,Dickey County,5289,15,23,North Dakota,284,435
2037,Divide County,2071,6,9,North Dakota,290,435
2038,Dunn County,3536,11,19,North Dakota,311,537
2039,Eddy County,2385,4,2,North Dakota,168,84
2040,Emmons County,3550,7,24,North Dakota,197,676
2041,Foster County,3343,5,7,North Dakota,150,209
2042,Golden Valley County,1680,5,9,North Dakota,298,536
2043,Grand Forks County,66861,262,133,North Dakota,392,199
2044,Grant County,2394,3,3,North Dakota,125,125
2045,Griggs County,2420,10,12,North Dakota,413,496
2046,Hettinger County,2477,9,11,North Dakota,363,444
2047,Kidder County,2435,0,0,North Dakota,0,0
2048,LaMoure County,4139,8,17,North Dakota,193,411
2049,Logan County,1990,3,2,North Dakota,151,101
2050,McHenry County,5395,14,4,North Dakota,259,74
2051,McIntosh County,2809,2,7,North Dakota,71,249
2052,McKenzie County,6360,10,2,North Dakota,157,31
2053,McLean County,8962,24,22,North Dakota,268,245
2054,Mercer County,8424,32,29,North Dakota,380,344
2055,Morton County,27471,103,87,North Dakota,375,317
2056,Mountrail County,7673,28,29,North Dakota,365,378
2057,Nelson County,3126,8,19,North Dakota,256,608
2058,Oliver County,1846,6,7,North Dakota,325,379
2059,Pembina County,7413,14,26,North Dakota,189,351
2060,Pierce County,4357,4,7,North Dakota,92,161
2061,Ramsey County,11451,38,50,North Dakota,332,437
2062,Ransom County,5457,8,5,North Dakota,147,92
2063,Renville County,2470,10,1,North Dakota,405,40
2064,Richland County,16321,55,52,North Dakota,337,319
2065,Rolette County,13937,81,21,North Dakota,581,151
2066,Sargent County,3829,8,3,North Dakota,209,78
2067,Sheridan County,1321,4,4,North Dakota,303,303
2068,Sioux County,4153,23,15,North Dakota,554,361
2069,Slope County,727,5,0,North Dakota,688,0
2070,Stark County,24199,73,35,North Dakota,302,145
2071,Steele County,1975,5,0,North Dakota,253,0
2072,Stutsman County,21100,65,39,North Dakota,308,185
2073,Towner County,2246,2,4,North Dakota,89,178
2074,Traill County,8121,23,26,North Dakota,283,320
2075,Walsh County,11119,26,16,North Dakota,234,144
2076,Ward County,61675,260,102,North Dakota,422,165
2077,Wells County,4207,10,28,North Dakota,238,666
2078,Williams County,22398,98,42,North Dakota,438,188
2080,Adams County,28550,91,102,Ohio,319,357
2081,Allen County,106331,339,220,Ohio,319,207
2082,Ashland County,53139,167,90,Ohio,314,169
2083,Ashtabula County,101497,283,275,Ohio,279,271
2084,Athens County,64757,140,155,Ohio,216,239
2085,Auglaize County,45949,130,100,Ohio,283,218
2086,Belmont County,70400,202,226,Ohio,287,321
2087,Brown County,44846,135,102,Ohio,301,227
2088,Butler County,368130,1156,631,Ohio,314,171
2089,Carroll County,28836,80,42,Ohio,277,146
2090,Champaign County,40097,95,66,Ohio,237,165
2091,Clark County,138333,436,378,Ohio,315,273
2092,Clermont County,197363,617,416,Ohio,313,211
2093,Clinton County,42040,130,113,Ohio,309,269
2094,Columbiana County,107841,287,242,Ohio,266,224
2095,Coshocton County,36901,116,69,Ohio,314,187
2096,Crawford County,43784,115,96,Ohio,263,219
2097,Cuyahoga County,1280122,3803,3272,Ohio,297,256
2098,Darke County,52959,156,150,Ohio,295,283
2099,Defiance County,39037,111,117,Ohio,284,300
2100,Delaware County,174214,557,249,Ohio,320,143
2101,Erie County,77079,195,256,Ohio,253,332
2102,Fairfield County,146156,415,275,Ohio,284,188
2103,Fayette County,29030,84,101,Ohio,289,348
2104,Franklin County,1163414,4506,1967,Ohio,387,169
2105,Fulton County,42698,111,113,Ohio,260,265
2106,Gallia County,30934,114,110,Ohio,369,356
2107,Geauga County,93389,234,220,Ohio,251,236
2108,Greene County,161573,425,284,Ohio,263,176
2109,Guernsey County,40087,107,81,Ohio,267,202
2110,Hamilton County,802374,2660,1734,Ohio,332,216
2111,Hancock County,74782,216,172,Ohio,289,230
2112,Hardin County,32058,107,54,Ohio,334,168
2113,Harrison County,15864,45,65,Ohio,284,410
2114,Henry County,28215,91,81,Ohio,323,287
2115,Highland County,43589,134,97,Ohio,307,223
2116,Hocking County,29380,83,42,Ohio,283,143
2117,Holmes County,42366,213,50,Ohio,503,118
2118,Huron County,59626,168,150,Ohio,282,252
2119,Jackson County,33225,127,132,Ohio,382,397
2120,Jefferson County,69709,162,200,Ohio,232,287
2121,Knox County,60921,190,122,Ohio,312,200
2122,Lake County,230041,580,542,Ohio,252,236
2123,Lawrence County,62450,162,138,Ohio,259,221
2124,Licking County,166492,496,360,Ohio,298,216
2125,Logan County,45858,123,149,Ohio,268,325
2126,Lorain County,301356,825,718,Ohio,274,238
2127,Lucas County,441815,1470,1045,Ohio,333,237
2128,Madison County,43435,89,120,Ohio,205,276
2129,Mahoning County,238823,607,776,Ohio,254,325
2130,Marion County,66501,190,186,Ohio,286,280
2131,Medina County,172332,448,382,Ohio,260,222
2132,Meigs County,23770,62,72,Ohio,261,303
2133,Mercer County,40814,145,119,Ohio,355,292
2134,Miami County,102506,292,211,Ohio,285,206
2135,Monroe County,14642,37,23,Ohio,253,157
2136,Montgomery County,535153,1719,1288,Ohio,321,241
2137,Morgan County,15054,49,54,Ohio,325,359
2138,Morrow County,34827,93,95,Ohio,267,273
2139,Muskingum County,86074,281,192,Ohio,326,223
2140,Noble County,14645,38,18,Ohio,259,123
2141,Ottawa County,41428,75,142,Ohio,181,343
2142,Paulding County,19614,59,68,Ohio,301,347
2143,Perry County,36058,108,102,Ohio,300,283
2144,Pickaway County,55698,172,98,Ohio,309,176
2145,Pike County,28709,89,47,Ohio,310,164
2146,Portage County,161419,407,337,Ohio,252,209
2147,Preble County,42270,89,117,Ohio,211,277
2148,Putnam County,34499,119,59,Ohio,345,171
2149,Richland County,124475,312,329,Ohio,251,264
2150,Ross County,78064,183,171,Ohio,234,219
2151,Sandusky County,60944,161,135,Ohio,264,222
2152,Scioto County,79499,217,220,Ohio,273,277
2153,Seneca County,56745,140,156,Ohio,247,275
2154,Shelby County,49423,136,113,Ohio,275,229
2155,Stark County,375586,1061,973,Ohio,282,259
2156,Summit County,541781,1573,1269,Ohio,290,234
2157,Trumbull County,210312,497,646,Ohio,236,307
2158,Tuscarawas County,92582,277,263,Ohio,299,284
2159,Union County,52300,164,54,Ohio,314,103
2160,Van Wert County,28744,73,90,Ohio,254,313
2161,Vinton County,13435,40,44,Ohio,298,328
2162,Warren County,212693,649,357,Ohio,305,168
2163,Washington County,61778,148,149,Ohio,240,241
2164,Wayne County,114520,327,294,Ohio,286,257
2165,Williams County,37642,102,126,Ohio,271,335
2166,Wood County,125488,318,207,Ohio,253,165
2167,Wyandot County,22615,66,71,Ohio,292,314
2169,Adair County,22683,99,28,Oklahoma,436,123
2170,Alfalfa County,5642,15,28,Oklahoma,266,496
2171,Atoka County,14182,48,22,Oklahoma,338,155
2172,Beaver County,5636,9,23,Oklahoma,160,408
2173,Beckham County,22119,96,36,Oklahoma,434,163
2174,Blaine County,11943,40,14,Oklahoma,335,117
2175,Bryan County,42416,136,84,Oklahoma,321,198
2176,Caddo County,29600,116,43,Oklahoma,392,145
2177,Canadian County,115541,384,164,Oklahoma,332,142
2178,Carter County,47557,158,111,Oklahoma,332,233
2179,Cherokee County,46987,152,111,Oklahoma,323,236
2180,Choctaw County,15205,59,38,Oklahoma,388,250
2181,Cimarron County,2475,12,5,Oklahoma,485,202
2182,Cleveland County,255755,765,392,Oklahoma,299,153
2183,Coal County,5925,13,18,Oklahoma,219,304
2184,Comanche County,124098,490,180,Oklahoma,395,145
2185,Cotton County,6193,14,34,Oklahoma,226,549
2186,Craig County,15029,46,38,Oklahoma,306,253
2187,Creek County,69967,218,156,Oklahoma,312,223
2188,Custer County,27469,103,57,Oklahoma,375,208
2189,Delaware County,41487,111,134,Oklahoma,268,323
2190,Dewey County,4810,16,23,Oklahoma,333,478
2191,Ellis County,4151,11,7,Oklahoma,265,169
2192,Garfield County,60580,245,146,Oklahoma,404,241
2193,Garvin County,27576,112,88,Oklahoma,406,319
2194,Grady County,52431,146,155,Oklahoma,278,296
2195,Grant County,4527,11,24,Oklahoma,243,530
2196,Greer County,6239,22,31,Oklahoma,353,497
2197,Harmon County,2922,11,23,Oklahoma,376,787
2198,Harper County,3685,18,2,Oklahoma,488,54
2199,Haskell County,12769,39,23,Oklahoma,305,180
2200,Hughes County,14003,37,30,Oklahoma,264,214
2201,Jackson County,26446,103,44,Oklahoma,389,166
2202,Jefferson County,6472,13,23,Oklahoma,201,355
2203,Johnston County,10957,35,26,Oklahoma,319,237
2204,Kay County,46562,155,106,Oklahoma,333,228
2205,Kingfisher County,15034,54,20,Oklahoma,359,133
2206,Kiowa County,9446,24,15,Oklahoma,254,159
2207,Latimer County,11154,33,13,Oklahoma,296,117
2208,Le Flore County,50384,171,115,Oklahoma,339,228
2209,Lincoln County,34273,100,51,Oklahoma,292,149
2210,Logan County,41848,124,101,Oklahoma,296,241
2211,Love County,9423,27,47,Oklahoma,287,499
2212,McClain County,34506,111,54,Oklahoma,322,156
2213,McCurtain County,33151,113,71,Oklahoma,341,214
2214,McIntosh County,20252,49,79,Oklahoma,242,390
2215,Major County,7527,28,12,Oklahoma,372,159
2216,Marshall County,15840,30,64,Oklahoma,189,404
2217,Mayes County,41259,130,72,Oklahoma,315,175
2218,Murray County,13488,40,33,Oklahoma,297,245
2219,Muskogee County,70990,239,154,Oklahoma,337,217
2220,Noble County,11561,45,35,Oklahoma,389,303
2221,Nowata County,10536,28,24,Oklahoma,266,228
2222,Okfuskee County,12191,46,23,Oklahoma,377,189
2223,Oklahoma County,718633,2996,1519,Oklahoma,417,211
2224,Okmulgee County,40069,131,150,Oklahoma,327,374
2225,Osage County,47472,110,72,Oklahoma,232,152
2226,Ottawa County,31848,107,76,Oklahoma,336,239
2227,Pawnee County,16577,52,40,Oklahoma,314,241
2228,Payne County,77350,209,102,Oklahoma,270,132
2229,Pittsburg County,45837,119,134,Oklahoma,260,292
2230,Pontotoc County,37492,140,65,Oklahoma,373,173
2231,Pottawatomie County,69442,243,158,Oklahoma,350,228
2232,Pushmataha County,11572,29,20,Oklahoma,251,173
2233,Roger Mills County,3647,18,18,Oklahoma,494,494
2234,Rogers County,86905,239,181,Oklahoma,275,208
2235,Seminole County,25482,82,55,Oklahoma,322,216
2236,Sequoyah County,42391,131,79,Oklahoma,309,186
2237,Stephens County,45048,141,115,Oklahoma,313,255
2238,Texas County,20640,92,50,Oklahoma,446,242
2239,Tillman County,7992,26,26,Oklahoma,325,325
2240,Tulsa County,603403,2325,1267,Oklahoma,385,210
2241,Wagoner County,73085,231,99,Oklahoma,316,135
2242,Washington County,50976,157,114,Oklahoma,308,224
2243,Washita County,11629,39,47,Oklahoma,335,404
2244,Woods County,8878,25,16,Oklahoma,282,180
2245,Woodward County,20081,65,25,Oklahoma,324,124
2247,Baker County,16134,44,42,Oregon,273,260
2248,Benton County,85579,195,100,Oregon,228,117
2249,Clackamas County,375992,1014,721,Oregon,270,192
2250,Clatsop County,37039,119,73,Oregon,321,197
2251,Columbia County,49351,126,75,Oregon,255,152
2252,Coos County,63043,168,240,Oregon,266,381
2253,Crook County,20978,56,40,Oregon,267,191
2254,Curry County,22364,51,77,Oregon,228,344
2255,Deschutes County,157733,426,370,Oregon,270,235
2256,Douglas County,107667,264,368,Oregon,245,342
2257,Gilliam County,1871,6,0,Oregon,321,0
2258,Grant County,7445,18,16,Oregon,242,215
2259,Harney County,7422,28,33,Oregon,377,445
2260,Hood River County,22346,66,19,Oregon,295,85
2261,Jackson County,203206,574,541,Oregon,282,266
2262,Jefferson County,21720,69,55,Oregon,318,253
2263,Josephine County,82713,216,232,Oregon,261,280
2264,Klamath County,66380,227,206,Oregon,342,310
2265,Lake County,7895,16,16,Oregon,203,203
2266,Lane County,351715,945,729,Oregon,269,207
2267,Lincoln County,46034,112,174,Oregon,243,378
2268,Linn County,116672,386,260,Oregon,331,223
2269,Malheur County,31313,137,54,Oregon,438,172
2270,Marion County,315335,1202,626,Oregon,381,199
2271,Morrow County,11173,40,26,Oregon,358,233
2272,Multnomah County,735334,2495,1285,Oregon,339,175
2273,Polk County,75403,219,189,Oregon,290,251
2274,Sherman County,1765,3,1,Oregon,170,57
2275,Tillamook County,25250,56,79,Oregon,222,313
2276,Umatilla County,75889,301,128,Oregon,397,169
2277,Union County,25748,72,89,Oregon,280,346
2278,Wallowa County,7008,15,29,Oregon,214,414
2279,Wasco County,25213,83,44,Oregon,329,175
2280,Washington County,529710,1871,663,Oregon,353,125
2281,Wheeler County,1441,4,5,Oregon,278,347
2282,Yamhill County,99193,260,217,Oregon,262,219
2284,Adams County,101407,269,201,Pennsylvania,265,198
2285,Allegheny County,1223348,3356,3155,Pennsylvania,274,258
2286,Armstrong County,68941,183,220,Pennsylvania,265,319
2287,Beaver County,170539,441,418,Pennsylvania,259,245
2288,Bedford County,49762,114,155,Pennsylvania,229,311
2289,Berks County,411442,1246,861,Pennsylvania,303,209
2290,Blair County,127089,339,394,Pennsylvania,267,310
2291,Bradford County,62622,196,158,Pennsylvania,313,252
2292,Bucks County,625249,1493,1212,Pennsylvania,239,194
2293,Butler County,183862,501,377,Pennsylvania,272,205
2294,Cambria County,143679,368,492,Pennsylvania,256,342
2295,Cameron County,5085,20,18,Pennsylvania,393,354
2296,Carbon County,65249,156,147,Pennsylvania,239,225
2297,Centre County,153990,366,224,Pennsylvania,238,145
2298,Chester County,498886,1444,908,Pennsylvania,289,182
2299,Clarion County,39988,96,114,Pennsylvania,240,285
2300,Clearfield County,81642,215,279,Pennsylvania,263,342
2301,Clinton County,39238,131,116,Pennsylvania,334,296
2302,Columbia County,67295,185,145,Pennsylvania,275,215
2303,Crawford County,88765,258,282,Pennsylvania,291,318
2304,Cumberland County,235406,637,529,Pennsylvania,271,225
2305,Dauphin County,268100,858,573,Pennsylvania,320,214
2306,Delaware County,558979,1692,1353,Pennsylvania,303,242
2307,Elk County,31946,89,121,Pennsylvania,279,379
2308,Erie County,280566,830,545,Pennsylvania,296,194
2309,Fayette County,136606,350,475,Pennsylvania,256,348
2310,Forest County,7716,7,10,Pennsylvania,91,130
2311,Franklin County,149618,495,294,Pennsylvania,331,197
2312,Fulton County,14845,34,18,Pennsylvania,229,121
2313,Greene County,38686,101,145,Pennsylvania,261,375
2314,Huntingdon County,45913,107,117,Pennsylvania,233,255
2315,Indiana County,88880,239,233,Pennsylvania,269,262
2316,Jefferson County,45200,124,186,Pennsylvania,274,412
2317,Juniata County,24636,74,81,Pennsylvania,300,329
2318,Lackawanna County,214437,567,606,Pennsylvania,264,283
2319,Lancaster County,519445,1742,1043,Pennsylvania,335,201
2320,Lawrence County,91108,209,242,Pennsylvania,229,266
2321,Lebanon County,133568,378,382,Pennsylvania,283,286
2322,Lehigh County,349497,1010,845,Pennsylvania,289,242
2323,Luzerne County,320918,828,902,Pennsylvania,258,281
